lm,method,libri_wer,libri_cer,earn_wer,earn_cer
3-gram LibriSpeech,Shallow Fusion,0.10999755560987534,0.037498183227556804,0.5587349397590361,0.25491998269896193
3-gram LibriSpeech,Rescoring,0.10999755560987534,0.03740128869725304,0.5533132530120481,0.2538386678200692
financial 3-gram,Shallow Fusion,0.11024199462234173,0.037498183227556804,0.5602409638554217,0.25508217993079585
financial 3-gram,Rescoring,0.10999755560987534,0.037449735962404924,0.552710843373494,0.2537846020761246
4-gram LibriSpeech,Shallow Fusion,0.11024199462234173,0.037498183227556804,0.5593373493975904,0.2548659169550173
4-gram LibriSpeech,Rescoring,0.10999755560987534,0.03740128869725304,0.5533132530120481,0.2538386678200692
